
ANNUAL REVISION FOR 2002

PART B:      NOT SEASONALLY ADJUSTED

EXHIBIT 13.  EXPORTS, IMPORTS AND BALANCE OF GOODS BY SELECTED
             COUNTRIES AND GEOGRAPHIC AREAS, -- ANNUAL 2002

(In millions of dollars. Details may not equal totals due to rounding.
(-) Represents zero or less then half unit of measure.  (X) Not applicable.
 
                                   January - December, Cumulative
 
                                            Trade
              Country                      Balance                 Rank
Latvia, Lithuania, Moldova, Russia, Tajikistan, Turkmenistan, Ukraine, Uzbekistan.
OECD - Austria, Belgium, Denmark, Finland, France, Germany, Greece, Iceland, 
Ireland, Italy, Liechtenstein, Luxembourg, Monaco, Netherlands, Norway, Portugal, 
San Marino, Spain, Svalbard, Jan Mayan Island, Sweden, Switzerland, Turkey, United 
Kingdom.  Pacific Rim Countries - Australia, Brunei, China, Hong Kong, Indonesia, 
Japan, Korea, Macao, Malaysia, New Zealand, Papua New Guines, Philippines, Singapore, 
Taiwan.  Asia Near East - Bahrain, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, 
Oman, Qatar, Saudi Arabia,  Syrian Arab Republic, United Arab Emirates, Yeman.
Asia - NICS - Hong Kong, Korea, Singapore, Taiwan.  Asia - SOUTH - Afghanistan, 
Bangladesh, India, Nepal, Pakistan, Sri Lanka.  ASEAN - Brunei, Indonesia,  
Malaysia, Philippines, Singapore, Thailand.  South/Central America - Anguilla, 
Antigua and Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, 
Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, 
Dominica, Dominican Republic, Ecuador, El Salvador, Falkland Islands, French Guiana,
Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, 
Montserrat, Netherlands Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts 
and Nevis, St. Lucia, St. Vincent and the Grenadines, Suriname, Trinidad and 
Tobago, Turks and Caicos Islands, Uruguay, Venezuela.  Twenty Latin American 
Republics - Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, 
Dominican Republic, Ecuador, El Salvador, Guatemala, Haiti, Honduras, Mexico, 
Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela.  Central American Common 
Market - Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua.  LAFTA - 
Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, 
Uruguay, Venezuela.  NATO Allies - Belgium, Canada, Denmark, France, Germany, 
Greece, Iceland, Ireland, Italy, Liechtenstein, Luxembourg, Monaco, Netherlands, 
Norway, Portugal, San Marino, Spain, Svalbard Jan Mayan Island, Sweden, 
Switzerland, Turkey, United Kingdom.  OPEC - Algeria, Ecuador, Gabon, Indonesia, 
Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, United Arab Emirates, 
Venezuela.

NOTE:  For information on data sources, nonsampling errors and definitions, see 
the information section on page 26 of the FT-900. 

SOURCE: Report FT900 (03) (CB-03-93), U.S. Census Bureau, Foreign Trade
        Division, FINAL 2002. For more information, contact Haydn R. 
        Mearkle (301-763-2246) or Nick Orsini (301-763-2311), 
        Foreign Trade Division.


